time_ns,expected_counts,measured_counts,lifetime_true_ns
0.0,10005.0,10090,2.5
0.03913894324853229,9849.663342233163,9971,2.5
0.07827788649706457,9696.739632190944,9542,2.5
0.11741682974559686,9546.191387949852,9624,2.5
0.15655577299412915,9397.981709818067,9271,2.5
0.19569471624266144,9252.07427129125,9216,2.5
0.23483365949119372,9108.433310148841,9148,2.5
0.273972602739726,8967.023619688662,8952,2.5
0.3131115459882583,8827.810540097673,8842,2.5
0.3522504892367906,8690.759949956795,8790,2.5
0.3913894324853229,8555.838257877662,8629,2.5
0.43052837573385516,8423.012394269312,8502,2.5
0.46966731898238745,8292.24980323275,8284,2.5
0.5088062622309197,8163.518434581445,8059,2.5
0.547945205479452,8036.7867359857455,7991,2.5
0.5870841487279843,7912.023645239343,7904,2.5
0.6262230919765166,7789.19858264586,7675,2.5
0.6653620352250489,7668.281443523705,7594,2.5
0.7045009784735812,7549.242590827346,7534,2.5
0.7436399217221135,7432.052847883212,7483,2.5
0.7827788649706457,7316.683491238428,7410,2.5
0.821917808219178,7203.106243620636,7176,2.5
0.8610567514677103,7091.293267007173,7136,2.5
0.9001956947162426,6981.217155801919,6902,2.5
0.9393346379647749,6872.850930118127,6947,2.5
0.9784735812133072,6766.168029165585,6816,2.5
1.0176125244618395,6661.142304740529,6652,2.5
1.0567514677103718,6557.748014816645,6458,2.5
1.095890410958904,6455.959817235656,6495,2.5
1.1350293542074363,6355.7527634959015,6370,2.5
1.1741682974559686,6257.102292637406,6288,2.5
1.213307240704501,6159.984225221939,6173,2.5
1.2524461839530332,6064.374757406582,5995,2.5
1.2915851272015655,5970.250455109354,6063,2.5
1.3307240704500978,5877.588248265476,5719,2.5
1.36986301369863,5786.365425172839,5740,2.5
1.4090019569471623,5696.559626925331,5709,2.5
1.4481409001956946,5608.148841932606,5644,2.5
1.487279843444227,5521.111400525014,5596,2.5
1.5264187866927592,5435.425969642304,5484,2.5
1.5655577299412915,5351.071547604857,5269,2.5
1.6046966731898238,5268.027458966125,5183,2.5
1.643835616438356,5186.273349445037,5175,2.5
1.6829745596868884,5105.789180937119,5064,2.5
1.7221135029354206,5026.555226603119,4998,2.5
1.761252446183953,4948.552066033907,4852,2.5
1.8003913894324852,4871.760580490502,4983,2.5
1.8395303326810175,4796.161948218025,4856,2.5
1.8786692759295498,4721.737639832441,4712,2.5
1.917808219178082,4648.46941377898,4543,2.5
1.9569471624266144,4576.339311861085,4568,2.5
1.9960861056751467,4505.32965483882,4467,2.5
2.035225048923679,4435.423038095656,4365,2.5
2.074363992172211,4366.602327372559,4419,2.5
2.1135029354207435,4298.850654568348,4286,2.5
2.152641878669276,4232.151413605288,4248,2.5
2.191780821917808,4166.488256358909,4059,2.5
2.23091976516634,4101.845088651036,3939,2.5
2.2700587084148727,4038.206066305083,4007,2.5
2.309197651663405,3975.555591262606,3882,2.5
2.3483365949119372,3913.8783077601906,3928,2.5
2.3874755381604693,3853.1590985657162,3869,2.5
2.426614481409002,3793.383081273091,3950,2.5
2.4657534246575343,3734.535604654552,3788,2.5
2.5048923679060664,3676.602245069607,3674,2.5
2.5440313111545985,3619.5688029297744,3739,2.5
2.583170254403131,3563.4212992182356,3559,2.5
2.6223091976516635,3508.1459720635476,3479,2.5
2.6614481409001955,3453.7292733665768,3444,2.5
2.7005870841487276,3400.1578654798354,3462,2.5
2.73972602739726,3347.418617938393,3276,2.5
2.7788649706457926,3295.4986042415735,3212,2.5
2.8180039138943247,3244.3850986846405,3207,2.5
2.8571428571428568,3194.0655732397045,3233,2.5
2.8962818003913893,3144.5276944850707,3063,2.5
2.935420743639922,3095.7593205822977,3049,2.5
2.974559686888454,3047.7484983002023,3056,2.5
3.013698630136986,3000.483460085101,3060,2.5
3.0528375733855184,2953.9526211765556,2925,2.5
3.091976516634051,2908.144576767924,2875,2.5
3.131115459882583,2863.0480992110192,2823,2.5
3.170254403131115,2818.652135264189,2760,2.5
3.2093933463796476,2774.945803383143,2765,2.5
3.24853228962818,2731.918391053862,2807,2.5
3.287671232876712,2689.5593521669393,2764,2.5
3.326810176125244,2647.858304432708,2651,2.5
3.3659491193737767,2606.8050268365173,2650,2.5
3.4050880626223092,2566.3894571335436,2548,2.5
3.4442270058708413,2526.60168938251,2564,2.5
3.4833659491193734,2487.4319715177216,2586,2.5
3.522504892367906,2448.8707029588113,2382,2.5
3.5616438356164384,2410.90843225762,2354,2.5
3.6007827788649704,2373.5358547816254,2387,2.5
3.6399217221135025,2336.743810433356,2290,2.5
3.679060665362035,2300.523281405234,2301,2.5
3.7181996086105675,2264.8653899692886,2204,2.5
3.7573385518590996,2229.761396301211,2166,2.5
3.7964774951076317,2195.2026963382,2222,2.5
3.835616438356164,2161.180819670091,2117,2.5
3.8747553816046967,2127.68742746324,2157,2.5
3.9138943248532287,2094.7143104166576,2036,2.5
3.953033268101761,2062.253386749893,2145,2.5
3.9921722113502933,2030.2967002221692,2004,2.5
4.031311154598826,1998.8364181822978,2020,2.5
4.070450097847358,1967.864829648874,1940,2.5
4.10958904109589,1937.3743434203013,1954,2.5
4.148727984344422,1907.3574862141722,1853,2.5
4.187866927592955,1877.8069008355492,1960,2.5
4.227005870841487,1848.7153443737031,1845,2.5
4.266144814090019,1820.0756864268587,1866,2.5
4.305283757338552,1791.880907354519,1757,2.5
4.344422700587084,1764.124096556937,1777,2.5
4.383561643835616,1736.7984507813112,1749,2.5
4.422700587084148,1709.8972724542957,1695,2.5
4.46183953033268,1683.4139680404114,1701,2.5
4.500978473581213,1657.342046425954,1652,2.5
4.540117416829745,1631.675117328012,1599,2.5
4.579256360078277,1606.406889728191,1647,2.5
4.61839530332681,1581.5311703306745,1505,2.5
4.657534246575342,1557.0418620442342,1509,2.5
4.6966731898238745,1532.9329624878173,1511,2.5
4.735812133072407,1509.1985625193536,1577,2.5
4.774951076320939,1485.8328447874103,1461,2.5
4.814090019569472,1462.8300823053467,1409,2.5
4.853228962818004,1440.18463704762,1359,2.5
4.892367906066536,1417.8909585678914,1336,2.5
4.931506849315069,1395.9435826385993,1416,2.5
4.970645792563601,1374.3371299116689,1354,2.5
5.009784735812133,1353.0663046000177,1402,2.5
5.048923679060665,1332.1258931795521,1242,2.5
5.088062622309197,1311.5107631113183,1282,2.5
5.12720156555773,1291.2158615835071,1298,2.5
5.166340508806262,1271.2362142729996,1190,2.5
5.205479452054794,1251.5669241261498,1254,2.5
5.244618395303327,1232.2031701585056,1271,2.5
5.283757338551859,1213.140206273177,1275,2.5
5.322896281800391,1194.3733600975559,1234,2.5
5.362035225048923,1175.898031838109,1206,2.5
5.401174168297455,1157.7096931529593,1187,2.5
5.440313111545988,1139.8038860419779,1143,2.5
5.47945205479452,1122.1762217541198,1163,2.5
5.518590998043052,1104.8223797117332,1094,2.5
5.557729941291585,1087.7381064515744,1064,2.5
5.596868884540117,1070.9192145822763,1069,2.5
5.636007827788649,1054.36158175801,1027,2.5
5.6751467710371815,1038.061149668089,1026,2.5
5.7142857142857135,1022.0139230422684,1011,2.5
5.7534246575342465,1006.215968671496,987,2.5
5.7925636007827785,990.6634144438744,1043,2.5
5.831702544031311,975.3524483955985,960,2.5
5.870841487279844,960.2793177766346,997,2.5
5.909980430528376,945.4403281309139,975,2.5
5.949119373776908,930.8318423908138,943,2.5
5.98825831702544,916.4502799857037,938,2.5
6.027397260273972,902.292115964341,920,2.5
6.066536203522505,888.3538801308977,850,2.5
6.105675146771037,874.6321561944077,828,2.5
6.144814090019569,861.123580931427,812,2.5
6.183953033268102,847.8248433617007,876,2.5
6.223091976516634,834.7326839366342,860,2.5
6.262230919765166,821.843893740372,884,2.5
6.301369863013698,809.1553137032842,816,2.5
6.34050880626223,796.6638338276731,806,2.5
6.379647749510763,784.3663924255061,789,2.5
6.418786692759295,772.2599753679885,770,2.5
6.457925636007827,760.3416153467958,783,2.5
6.49706457925636,748.6083911467783,748,2.5
6.536203522504892,737.0574269299669,788,2.5
6.575342465753424,725.6858915306979,688,2.5
6.614481409001956,714.4909977616886,727,2.5
6.653620352250488,703.4700017308927,726,2.5
6.692759295499021,692.6202021689655,680,2.5
6.731898238747553,681.9389397671771,703,2.5
6.7710371819960855,671.4235965256113,661,2.5
6.8101761252446185,661.0715951114869,632,2.5
6.8493150684931505,650.8803982274494,701,2.5
6.888454011741683,640.8475079896729,632,2.5
6.927592954990215,630.9704653156241,635,2.5
6.966731898238747,621.2468493213361,643,2.5
7.00587084148728,611.6742767280441,603,2.5
7.045009784735812,602.2504012780395,568,2.5
7.084148727984344,592.9729131595963,603,2.5
7.123287671232877,583.839538440832,590,2.5
7.162426614481409,574.8480385123623,600,2.5
7.201565557729941,565.9962095386126,563,2.5
7.240704500978473,557.2818819176533,543,2.5
7.279843444227005,548.7029197494267,569,2.5
7.318982387475538,540.2572203122321,525,2.5
7.35812133072407,531.9427135473451,543,2.5
7.397260273972602,523.7573615516419,487,2.5
7.436399217221135,515.6991580781046,488,2.5
7.475538160469667,507.7661280440855,486,2.5
7.514677103718199,499.9563270472114,510,2.5
7.553816046966731,492.2678408888051,499,2.5
7.592954990215263,484.69878510471216,467,2.5
7.632093933463796,477.2473045034144,432,2.5
7.671232876712328,469.91157271131857,509,2.5
7.71037181996086,462.6897917251086,475,2.5
7.749510763209393,455.58019147105085,400,2.5
7.788649706457925,448.5810293711454,420,2.5
7.8277886497064575,441.6905899160168,457,2.5
7.86692759295499,434.9071842444385,460,2.5
7.906066536203522,428.2291497293903,443,2.5
7.945205479452055,421.65484957054394,407,2.5
7.984344422700587,415.1826723930808,371,2.5
8.023483365949119,408.8110318527397,421,2.5
8.062622309197652,402.53836624700153,370,2.5
8.101761252446183,396.3631381323119,414,2.5
8.140900195694716,390.28383394725034,394,2.5
8.180039138943249,384.29896364155434,427,2.5
8.21917808219178,378.4070603109041,383,2.5
8.258317025440313,372.6066798373806,381,2.5
8.297455968688844,366.89640053551057,344,2.5
8.336594911937377,361.27482280380696,356,2.5
